datetime_utc, _conds, _dewptm, _fog, _hail, _heatindexm, _hum, _precipm, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wdird, _wdire, _wgustm, _windchillm, _wspdm
20170106-18:00,Mist,16,0,0,,99,,1012,0,0,17,0,0,1,140,SE,,,11.1
20170106-21:00,Light Fog,16,1,0,,100,,1011,0,0,16,0,0,1,110,ESE,,,13
20170107-00:00,Overcast,15,0,0,,100,,1010,0,0,15,0,0,1,,,,,5.6
20170107-02:00,Light Rain,14,0,0,,100,,1011,1,0,14,0,0,0.5,60,ENE,,,7.4
20170107-02:30,Light Rain,14,0,0,,100,,1011,1,0,14,0,0,0.4,60,ENE,,,14.8
20170107-03:00,Patches of Fog,14,1,0,,100,,1012,0,0,14,0,0,0.5,90,East,,,9.3
20170107-03:30,Overcast,14,0,0,,100,,1012,0,0,14,0,0,1.2,100,East,,,16.7
20170107-04:00,Overcast,14,0,0,,100,,1012,0,0,14,0,0,1,90,East,,,16.7
20170107-04:30,Overcast,14,0,0,,100,,1012,0,0,14,0,0,1,90,East,,,13
20170107-05:30,Overcast,14,0,0,,100,,1013,0,0,14,0,0,1,110,ESE,,,22.2
20170107-06:00,Mist,14,0,0,,94,,1013,0,0,14,0,0,1,110,ESE,,,14.8
20170107-06:30,Overcast,14,0,0,,100,,1012,0,0,14,0,0,1.2,110,ESE,,,11.1
20170107-07:00,Overcast,14,0,0,,94,,1011,0,0,15,0,0,1.2,100,East,,,9.3
20170107-07:30,Mostly Cloudy,14,0,0,,94,,1011,0,0,15,0,0,1.4,90,East,,,18.5
20170107-08:00,Overcast,14,0,0,,94,,1011,0,0,15,0,0,1.4,90,East,,,11.1
20170107-08:30,Overcast,14,0,0,,88,,1010,0,0,16,0,0,1.2,90,East,,,9.3
20170107-09:00,Mist,14,0,0,,90,,1010,0,0,16,0,0,1,90,East,,,11.1
20170107-09:30,Overcast,14,0,0,,88,,1010,0,0,16,0,0,1,90,East,,,11.1
20170107-10:00,Overcast,14,0,0,,88,,1010,0,0,16,0,0,1,110,ESE,,,5.6
20170107-10:30,Overcast,14,0,0,,94,,1010,0,0,15,0,0,1,110,ESE,,,7.4
20170107-12:00,Mist,15,0,0,,92,,1010,0,0,16,0,0,1,110,ESE,,,5.6
